,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
7028,Georgia Power Co,6257.0,Scherer,1,Conventional Steam Coal,J,7346840.0,Dalton Utilities,0.013999999999999999,Georgia Power Co,0.084,Municipal Electric Authority,0.302,Oglethorpe Power Corporation,0.6,,,,,,,,,,,,,,,,,,,,,,
7039,Appalachian Power Co,6264.0,Mountaineer,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,Entergy Arkansas Inc,6641.0,Independence Steam Electric Station,1,Conventional Steam Coal,J,2067367.1,Arkansas Electric Coop Corp,0.35,Entergy Arkansas Inc,0.315,Conway Corporation,0.02,City Water and Light Plant,0.05,Entergy Mississippi Inc,0.25,City of Osceola - (AR),0.005,City of West Memphis - (AR),0.01,,,,,,,,,,,,,,,,
7518,Entergy Arkansas Inc,6641.0,Independence Steam Electric Station,2,Conventional Steam Coal,J,1485882.7,Arkansas Electric Coop Corp,0.35,Conway Corporation,0.02,City Water and Light Plant,0.15,Entergy Mississippi Inc,0.25,City of Osceola - (AR),0.005,City of West Memphis - (AR),0.01,"Entergy Power, LLC",0.144,"East Texas Electric Coop, Inc",0.071,,,,,,,,,,,,,,
7529,MidAmerican Energy Co,6664.0,Louisa,1,Conventional Steam Coal,J,15926105.4,Central Iowa Power Cooperative,0.046,Eldridge City Utilities,0.005,City of Geneseo - (IL),0.005,Harlan Municipal Utilities - (IA),0.008,Interstate Power and Light Co,0.04,MidAmerican Energy Co,0.88,City of Tipton - (IA),0.005,Waverly Municipal Elec Utility,0.011,,,,,,,,,,,,,,
7565,AGC Division of APG Inc,6705.0,Warrick,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7778,South Carolina Electric&Gas Company,7210.0,Cope,ST1,Conventional Steam Coal,S,13462390.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7911,MidAmerican Energy Co,7343.0,George Neal South,4,Conventional Steam Coal,J,5772835.0,City of Algona - (IA),0.0294,Bancroft Municipal Utilities,0.0035,Cedar Falls Utilities,0.025,City of Coon Rapids,0.0052,Corn Belt Power Coop,0.087,City of Graettinger - (IA),0.0017,Grundy Center Mun Light & Power,0.0033,Interstate Power and Light Co,0.257,City of Laurens - (IA),0.0052,MidAmerican Energy Co,0.4057,City of Milford - (IA),0.0035,Northwest Iowa Power Coop,0.0486,NorthWestern Energy - (SD),0.0868,City of Spencer - (IA),0.0121,City of Webster City - (IA),0.026
8112,"Black Hills Power, Inc. d/b/a",7504.0,Neil Simpson II,2,Conventional Steam Coal,S,4738571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8579,Southwestern Electric Power Co,7902.0,Pirkey,1,Conventional Steam Coal,J,0.0,"Northeast Texas Elec Coop, Inc",0.1172,Oklahoma Municipal Power Authority,0.0234,Southwestern Electric Power Co,0.8594,,,,,,,,,,,,,,,,,,,,,,,,
8860,Wisconsin Power & Light Co,8023.0,Columbia (WI),1,Conventional Steam Coal,J,12625881.6,Madison Gas & Electric Co,0.204,Wisconsin Power & Light Co,0.501,Wisconsin Public Service Corp,0.295,,,,,,,,,,,,,,,,,,,,,,,,
8861,Wisconsin Power & Light Co,8023.0,Columbia (WI),2,Conventional Steam Coal,J,526587.4,Madison Gas & Electric Co,0.204,Wisconsin Power & Light Co,0.501,Wisconsin Public Service Corp,0.295,,,,,,,,,,,,,,,,,,,,,,,,
